Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,BEL,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,0.8770187,0.929495019,0.748431564,0.714098574,0.907884497,0.609109971,0.593163268,1.123155,1.508942458,1.730819595,2.563399208,4.000423692,5.388086688,5.075813614,5.171760662,3.548350449,3.211727662,3.309798666,4.697528322,5.305488774,5.275989569,7.835704762,11.26480135,22.80635852,19.57913859,16.29450952,15.95620513,14.7717309,13.00149687,20.34187357,27.61696736,33.12926143,49.17367274,36.86546013,25.501843,22.31271302,19.72949193,20.34159915,22.098282,20.03170024,,,,,,,,
Benin,BEN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044623314,0.318934767,0.39552186,1.836709394,1.179724635,2.018223249,1.888783375,1.752920607,0.483596522,,,0.381055978,0.2960128,0.329285738,0.889113443,1.59518674,2.282729007,4.196416302,1.729222562,1.082142495,0.823998156,9.144454657,6.977849885,5.776296375,9.022164637,5.022765866,3.737310624,3.990391093,,
Bulgaria,BGR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02031007,0.022686454,0.022115175,0.078812751,0.382904845,0.972054187,0.042561543,0.031028258,0.495648236,0.994327647,0.549587282,1.751489009,2.616388067,5.434062962,15.26860384,2.41342417,0.936282987,0.743189704,0.557475748,0.66681237,1.574872963,,,,,,0.247412167,0.302108499,,
Bahrain,BHR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.877385933,1.813840221,2.895837637,7.552129705,9.321002968,6.726918929,2.708184233,2.133420246,2.24109826,2.408437777,2.369857173,4.397909477,7.463592894,4.807731247,8.104032357,2.0327647,1.118333008,0.542558965,0.905386213,1.85805127,2.149892702,0.946969261,1.032773001,1.587085144,2.565719266,1.965497498,1.712706641,,
"Bahamas, The",BHS,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031796863,0.01494999,0.038513484,0.04018251,0.023654377,0.023241688,0.009857955,,
Belize,BLZ,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.580696787,1.324483655,3.286931005,3.117465858,6.798151745,3.907800055,5.787283897,2.336669352,1.211505963,1.42640438,1.404028154,2.555338542,2.392788533,1.461318052,0.465594952,1.575244411,0.296703894,0.458750981,0.682054813,0.369037173,0.23006846,3.144533314,0.548001517,0.680184839,0.306460662,,,
Bolivia,BOL,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.975715638,1.264828978,2.888904223,5.90444662,8.02825052,14.96771277,10.2559743,13.65530227,24.6147621,20.01391417,26.49078843,14.34915458,11.51407755,7.7236279,12.62531163,16.9855291,19.16930497,25.23203981,46.19798494,33.60324803,42.46360661,41.1135649,31.53162118,33.73477084,29.91234497,26.2280086,23.30345829,31.24591499,31.13631969,40.12637626,55.44930338,93.05529375,,
Barbados,BRB,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.213246265,0.264950543,0.140281296,0.260614388,0.927399423,1.12989197,0.345210494,1.572152312,0.337207399,,,,,,,,,0.741533606,2.51653638,0.346781972,0.136590155,0.184807545,,,,,0.258186516,0.132100954,,
Brunei Darussalam,BRN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.704347769,0.801378409,0.588107009,1.12344653,1.382950751,0.669369753,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,2.9863876,3.072712139,3.139995038,4.630998401,7.412073749,9.883048032,7.709353563,5.233851822,8.239888483,7.094739153,10.64794085,15.08802861,21.53016126,13.50212734,15.75782795,11.42894307,11.97256688,12.73669753,23.03045328,26.92362825,30.26689387,42.02003502,51.59765615,56.26200473,57.88114986,84.38638337,60.34663433,58.95774569,56.56340579,68.81278634,79.45638971,93.77517016,118.8025814,96.77010472,96.96078946,86.86124037,82.18666947,73.72551366,71.67677234,74.41721891,70.41879356,75.48237193,77.6193571,79.61697308,82.1554373,61.33226086,,
Central Europe and the Baltics,CEB,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34997215,3.66598393,2.358406163,4.750599585,4.784991676,4.266321531,4.400981718,7.877980478,4.037711749,3.600486735,4.445566216,7.19564828,10.40557718,12.81046537,16.39159968,8.340559438,9.555373174,9.86150186,8.413826101,7.282436869,7.531743241,6.036496278,7.163212488,6.331871122,8.301767098,6.10790139,5.164240546,7.443354479,,
Switzerland,CHE,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,64.59578391,66.73974769,,110.5851698,119.2697708,193.3639687,82.05868677,214.2030594,180.2786827,198.8312708,150.7065825,27.3376597,25.86431881,68.73973328,84.83582021,90.44348512,122.0819659,183.2805119,226.7482815,156.190875,227.0994653,204.6859934,158.66799,123.9167611,10.85724446,13.54301688,18.40151943,256.6045286,249.0477321,139.0474974,146.1746257,115.6474691,86.2427215,99.05837179,101.0350269,137.6162315,121.710067,136.4119638,129.3256105,133.8709342,176.2404052,,
Channel Islands,CHI,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.173607595,0.53511781,0.959424018,0.705167072,0.115517145,0.146370377,0.03115345,0.008061038,0.000868462,,,,,,,,,,,,,,,
Chile,CHL,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,2.593269015,1.301076751,1.131633478,0.525488227,0.508342717,0.812748308,3.995319796,5.689701053,5.855796514,6.276569477,4.758912245,4.673759988,4.181014939,5.358998745,9.295491267,15.09432285,1.372325972,8.662791463,5.243382653,8.629337672,7.357261093,5.687928486,3.788281707,9.886802138,13.2035729,16.7224604,18.07822022,26.1825951,16.04959287,21.55924008,26.68739797,20.39386787,17.41107681,14.86219551,10.45259968,8.114886007,9.614452422,13.79376558,14.72493641,13.18460756,15.6249083,,
China,CHN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.455262287,12.08044655,10.55553448,35.62828876,38.58716052,27.63587093,,62.12857551,34.55123115,22.99863585,23.36965529,26.15883475,17.16418934,42.11268751,177.6018554,84.99720029,153.4937425,135.6576675,88.37905843,58.92041646,80.41381589,114.1633955,355.5192191,162.8643094,139.9077385,94.06785832,127.785325,215.0136578,,
Cote d'Ivoire,CIV,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.096943602,0.399661015,0.199004268,0.051158389,0.096873982,0.114390556,0.213393329,0.145442935,0.423394052,0.571486371,0.856440936,0.710010701,0.649782456,0.317711121,0.479859365,0.859139328,0.816862097,1.139037305,,,,0.251742616,0.268486134,,
